Nodo,Grado
1,0.0020454420785975054
2,0.0015234758141413796
3,0.0013539155207561457
4,0.0012506854048301359
5,0.0012386942441414692
6,0.0012280769962810863
7,0.0011821387500724095
8,0.0011166647136697009
9,0.0010547988494040489
10,0.0010383119908623387
11,0.0010292831957704224
12,0.0010251422394313378
13,0.0010208966829969362
14,0.0010129168545365262
15,0.0010112881874121847
16,0.000996743075292983
17,0.0009933512403131842
18,0.00098371611455303
19,0.0009784877182373855
20,0.0009775348981326366
21,0.0009643676800182744
22,0.0009593683094440568
23,0.0009567286416146725
24,0.0009425303678791654
25,0.0009391840840888885
26,0.0009363918025538811
27,0.0009293892211352431
28,0.0009273585552008665
29,0.0009273504184972465
30,0.0009198148282631653
31,0.000919728769877393
32,0.0009106603952269174
33,0.000909646433562218
34,0.000909260383795484
35,0.0009044308759291503
36,0.0009018724097190205
37,0.00089659772094042
38,0.0008935986934815744
39,0.0008885431302746903
40,0.0008881552921920687
41,0.0008864326782376862
42,0.0008737938576031287
43,0.0008693392063210562
44,0.0008672758160708836
45,0.0008551796492819825
46,0.0008548128331425208
47,0.0008429795746209148
48,0.0008412531739674751
49,0.0008367337984610052
50,0.0008354466307704231
51,0.0008294460892349588
52,0.0008289674040077666
53,0.0008285526154509012
54,0.0008278345946128992
55,0.000827009881661637
56,0.0008269725389710113
57,0.0008173126669605865
58,0.0008143410469696259
59,0.0008128783612199198
60,0.0008113785174775641
61,0.0008106158004889891
62,0.000804620846395199
63,0.0008012454546909575
64,0.0007993411262373324
65,0.0007988679455408482
66,0.0007884447728278313
67,0.0007851423896271105
68,0.0007834845144574031
69,0.0007833752000099294
70,0.0007783604299486294
71,0.0007770929289298886
72,0.0007761329008105219
73,0.0007743917495062768
74,0.0007740711008623789
75,0.000772835516628305
76,0.0007722625744680048
77,0.0007698708866006333
78,0.0007684532558777057
79,0.0007654044163654578
80,0.0007653658039341161
81,0.0007626463623054784
82,0.0007609321235703723
83,0.0007574641144658773
84,0.000754314873506163
85,0.0007528328460602741
86,0.0007509349141779654
87,0.000745368161350138
88,0.0007452283335554054
89,0.0007426112584907948
90,0.0007425330135393518
91,0.0007420633409263677
92,0.0007403666561175132
93,0.0007399257016477038
94,0.0007365218464889191
95,0.0007350744161139007
96,0.0007341461372631869
97,0.0007330161057165532
98,0.000729821681900636
99,0.0007295866099743507
100,0.0007290526802478707
101,0.0007260369661135175
102,0.0007251832845691265
103,0.0007245067945900658
104,0.0007218472688073443
105,0.0007212898507619789
106,0.0007197769012625727
107,0.0007176764343345189
108,0.0007175940810201241
109,0.0007172923770427024
110,0.0007172314459239172
111,0.0007149730452164087
112,0.0007140572682538222
113,0.0007135254195232459
114,0.0007131827206955646
115,0.0007128560351542974
116,0.0007127771062230934
117,0.0007121990770167275
118,0.0007033566472151883
119,0.0007004952880226016
120,0.0006986964326261009
121,0.0006978866906835503
122,0.0006958884737068859
123,0.0006952605735532668
124,0.0006941601579252435
125,0.0006940251465808219
126,0.0006940004622133297
127,0.0006931848149703433
128,0.0006931342872519234
129,0.0006917803224063403
130,0.000691609517339854
131,0.0006839669620005058
132,0.0006837189535427114
133,0.000682155001957199
134,0.0006804392846096546
135,0.0006802278236058818
136,0.0006798515978634823
137,0.0006797296001770087
138,0.0006789828472765837
139,0.0006786899654734204
140,0.0006773685303635559
141,0.0006745860652751338
142,0.0006735142564083116
143,0.0006734240432631056
144,0.0006733887092781309
